10000011,0.776
00100111,0.757
10010001,0.440
01100100,0.445
11011000,0.251
00100011,0.781
01011001,0.194
11011010,0.258
11000001,0.600
11101100,0.565
11111011,0.550
11001011,0.208
11001000,0.564
11000100,0.400
01001001,0.129
22211100,0.116
01101111,0.874
10010111,0.536
21121121,0.920
22221021,0.270
22220120,0.749
11010100,0.571
01101001,0.404
00000010,0.200
11001100,0.590
20120120,0.796
00000101,0.466
11011011,0.256
22220121,0.406
01100010,0.311
21021021,0.188
20120021,0.648
01111101,0.755
20121020,0.699
01011100,0.150
00101010,0.233
10011101,0.619
01001000,0.556
21020121,0.275
01011111,0.871
11001001,0.299
10000001,0.368
10111101,0.519
10011111,0.864
10011011,0.593
00101101,0.719
00110101,0.557
21120021,0.864
00001000,0.179
20021020,0.452
22200111,0.587
22220020,0.122
00110010,0.405
00001001,0.221
11000110,0.574
22222201,0.494
01111110,0.536
10110111,0.797
10101000,0.392
20021121,0.780
11010010,0.199
10101010,0.926
11001111,0.607
20020120,0.524
11100111,0.823
00011001,0.426
00111101,0.480
11010000,0.169
01000001,0.167
22201111,0.757
11011101,0.796
11111110,0.489
01110111,0.474
00010001,0.324
20020020,0.081
01010010,0.163
10111010,0.788
22222210,0.381
01001111,0.475
11101001,0.176
22210010,0.106
01101010,0.493
00100000,0.156
01001101,0.347
10111100,0.204
22210001,0.351
00001010,0.660
00101001,0.212
10010101,0.324
10100001,0.306
22222220,0.168
11100000,0.055
21120120,0.504
22201001,0.151
10100100,0.676
10110010,0.449
00000100,0.535
01011101,0.184
01000110,0.284
10010011,0.737
11010011,0.349
01111001,0.573
22200110,0.559
21021020,0.622
01110011,0.800
01001010,0.353
11000011,0.745
11110000,0.163
01000000,0.158
01010110,0.591
20020021,0.734
01100001,0.585
00000110,0.474
01000111,0.679
10001010,0.486
01110000,0.189
11000000,0.100
11110100,0.290
10010000,0.087
10011010,0.410
00001100,0.251
10111110,0.759
22200001,0.556
11000010,0.431
10101100,0.581
22220021,0.738
22211001,0.442
21020021,0.473
20021021,0.539
10011100,0.281
01100101,0.643
10011110,0.157
10001111,0.700
22201000,0.370
10011001,0.628
10011000,0.476
00011101,0.263
22210100,0.462
00100001,0.451
00010111,0.811
21121120,0.384
01001011,0.622
11000101,0.429
00010000,0.181
10111111,0.857
11100110,0.562
22200101,0.491
00011100,0.080
00101011,0.603
00110110,0.667
00010011,0.500
11101000,0.258
22222122,0.706
22211110,0.418
22221120,0.269
22211101,0.519
01110001,0.765
20120121,0.639
22211111,0.918
00100010,0.181
11100001,0.570
00100110,0.691
01101110,0.589
01111011,0.685
22222222,0.407
10010100,0.392
22222022,0.173
01000100,0.283
01101101,0.896
00111100,0.419
10100110,0.560
10111001,0.772
00110011,0.439
21120020,0.103
00111110,0.372
01011110,0.526
22221020,0.624
11110101,0.338
01010011,0.675
00110001,0.376
10110001,0.500
10000000,0.152
01110101,0.502
22222211,0.883
00100101,0.647
20021120,0.135
22210011,0.503
01101000,0.450
00011000,0.527
10110011,0.695
11110010,0.221
01010100,0.174
11111010,0.494
22210110,0.815
00111010,0.407
22022122,0.450
01011010,0.374
22211010,0.581
11010110,0.551
01110100,0.513
00001110,0.127
21121021,0.514
00000111,0.573
10100111,0.657
01110110,0.632
22221121,0.770
11110011,0.873
01010001,0.269
01010000,0.163
11010001,0.448
10100011,0.855
00111001,0.278
11110111,0.851
10000100,0.288
10000111,0.500
22122022,0.421
22200100,0.756
11110001,0.555
22200011,0.837
00111111,0.897
00011010,0.500
00011110,0.379
00001101,0.547
10101011,0.904
10000110,0.259
21120121,0.632
10001110,0.255
00010101,0.180
00101000,0.509
11001110,0.627
22201110,0.308
11100010,0.602
01101100,0.529
11111100,0.182
11100100,0.618
11111111,0.949
00000011,0.881
22201101,0.779
11101010,0.848
11000111,0.522
11001010,0.386
22211000,0.526
10001011,0.685
00011011,0.501
11001101,0.593
10110101,0.432
01110010,0.244
00100100,0.808
00001111,0.803
00010010,0.130
10111011,0.820
01000010,0.485
22201010,0.730
01001110,0.397
10101111,0.688
10100101,0.460
00111000,0.290
11101011,0.838
10001100,0.197
01000011,0.857
11101110,0.583
00000000,0.063
10110110,0.828
01100110,0.392
00010110,0.754
22210000,0.189
01010101,0.090
10001001,0.193
20121120,0.575
00111011,0.504
21020020,0.210
11111001,0.638
01100011,0.774
11011100,0.423
00101100,0.652
01100111,0.703
00101110,0.617
22022022,0.131
10001000,0.815
01001100,0.417
00110111,0.733
01011000,0.421
10110000,0.291
20121021,0.439
01111010,0.492
11101101,0.777
10111000,0.429
22211011,0.409
10110100,0.457
11011001,0.331
11110110,0.811
00101111,0.767
22200010,0.243
10010010,0.057
01111111,0.833
22210111,0.541
22210101,0.212
01101011,0.460
10101110,0.838
01111100,0.306
10000010,0.232
01000101,0.275
00110100,0.662
11100011,0.901
21021120,0.438
00000001,0.507
11111101,0.753
20020121,0.515
00110000,0.545
10010110,0.503
00010100,0.102
01011011,0.358
10100000,0.148
10100010,0.799
11011111,0.779
00011111,0.919
01100000,0.096
11011110,0.533
20121121,0.725
20120020,0.210
22200000,0.094
10001101,0.472
22122122,0.859
01111000,0.384
22201100,0.544
11010101,0.463
22222200,0.126
21121020,0.531
22222221,0.733
10101001,0.400
10000101,0.397
01010111,0.654
11101111,0.805
11010111,0.316
10101101,0.766
21020120,0.341
11100101,0.537
00001011,0.790
21021121,0.515
22201011,0.576
11111000,0.240
